Project Name,Version Number
io.github.ganchix:testcontainers-java-module-ganache,0.0.1
com.google.api.grpc:proto-google-cloud-dlp-v2,0.2.0
com.github.codemonstur:htmlcompiler,1.0.0
io.spot-next:spot-core,1.0.0-BETA-20180807-68abee4
org.apache.bookkeeper:bookkeeper-server-shaded,4.6.1
kr.jmlab:jm-metric,0.2.0
org.apereo.cas:cas-server-support-discovery-profile,5.2.0
com.github.sbaudoin:yamllint,1.0.0
com.google.api.grpc:grpc-google-cloud-video-intelligence-v1p1beta1,0.5.0
com.tencent.tars:tars-maven-plugin,1.0.3
com.google.api.grpc:proto-google-cloud-video-intelligence-v1p1beta1,0.5.0
com.hurence.logisland:logisland-redis_4-client-service,0.14.0
com.hurence.logisland:logisland-solr_5_5_5-client-service,0.14.0
org.apache.hive:hive-upgrade-acid,3.1.0
org.pdown:core,1
org.hyperledger.fabric-chaincode-java:fabric-chaincode-shim,1.3.0
org.openapitools:openapi-generator,3.0.0
io.prestodb.tempto:tempto-runner,1.41
com.google.api.grpc:grpc-google-cloud-dlp-v2,0.2.0
com.google.api.grpc:grpc-google-cloud-vision-v1p2beta1,1.3.0
org.apereo.cas:cas-server-core-api-mfa,6.0.0-RC3
org.apereo.cas:cas-server-core-authentication-mfa-api,6.0.0-RC3
org.apereo.cas:cas-server-core-authentication-throttle,6.0.0-RC2
io.swagger.codegen.v3:swagger-codegen-generators,1.0.0
io.swagger.codegen.v3:swagger-codegen,3.0.0
de.dfki.cos.basys.platform.runtime:de.dfki.cos.basys.platform.runtime.component.registry.zookeeper,0.2.0
com.fluxtion:root-parent-pom,1.5.1
org.apereo.cas:cas-server-core-webflow-mfa-api,6.0.0
com.gitee.l0km:common-cli,1.0.0
com.centurylink.mdw:mdw-hub,6.1.13
org.apereo.cas:cas-server-webapp-init-bootadmin-server,6.0.0
org.apereo.cas:cas-server-support-soap-authentication,6.0.0
org.apereo.cas:cas-server-support-oauth-uma-core,6.0.0
org.apereo.cas:cas-server-support-u2f-couchdb,6.0.0
org.apereo.cas:cas-server-support-trusted-mfa-couchdb,6.0.0
org.apereo.cas:cas-server-support-hazelcast-discovery-kubernetes,6.0.0
com.edmunds:databricks-rest-client,2.0.3
com.sonalake:utah-parser,1.0.1
org.apereo.cas:cas-server-support-session-jdbc,6.0.0
org.apereo.cas:cas-server-webapp-init-config-server,6.0.0
org.icij.extract:extract-cli,2.0.2
org.apereo.cas:cas-server-support-surrogate-authentication-couchdb,6.0.0
org.apereo.cas:cas-server-support-throttle-hazelcast,5.3.4
org.apereo.cas:cas-server-support-consent-couchdb,6.0.0
com.github.vebqa:vebtal-manager,0.9.13
org.apereo.cas:cas-server-support-saml-idp-metadata-couchdb,6.0.0
org.apereo.cas:cas-server-support-simple-mfa,6.0.0
org.apereo.cas:cas-server-support-sms-nexmo,6.0.0
org.apereo.cas:cas-server-support-oauth-uma,6.0.0
org.apereo.cas:cas-server-support-throttle-bucket4j,6.0.0
org.apereo.cas:cas-server-support-hazelcast,5.3.4
org.apereo.cas:cas-server-support-logback,6.0.0
org.apereo.cas:cas-server-support-session-redis,6.0.0
org.apereo.cas:cas-server-support-geolocation-googlemaps,5.2.0
org.apereo.cas:cas-server-support-gauth-couchdb,6.0.0
com.github.chubbard:gratum,0.5.1
org.apereo.cas:cas-server-support-session-mongo,6.0.0
org.apereo.cas:cas-server-support-hazelcast-discovery-swarm,6.0.0
org.apereo.cas:cas-server-support-yubikey-couchdb,6.0.0
org.apereo.cas:cas-server-support-couchdb-authentication,6.0.0
com.github.beingcoder:openapi-generator,3.3.4
com.softwaremill:helisa-jgap_2.12,0.8.0
com.theartos:artos,0.0.1
software.amazon.awssdk:release-scripts,2.1.4
cn.wizzer.app:wk-code-generator-nb,5.0.5
org.opensourcebim:shared,1.5.10
nodecommons-express,1.0.0
nfccommons-freefare,1.0.0
picommons-kiosk,1.0.0
picommons-chrome,1.0.0
picommons-update,1.0.0
nodecommons-process,1.0.1
org.apereo.cas:cas-server-support-saml-core-api,6.0.0
network-repeater,1.0.0
com.alibaba.blink:flink-shaded-hadoop2,1.5.1
nodecommons-app,0.0.1
uomlibraryapps-sentry,0.0.1
uomlibraryapps-thumbnails,0.0.1
uomlibraryapps-loans,0.0.1
org.apereo.cas:cas-server-support-otp-mfa-core,6.0.0
nfc-desfire-card-service,0.0.1
uomlibraryapps-card-scanner-shared,0.0.1
org.apereo.cas:cas-server-support-trusted-mfa-core,6.1.0
org.apereo.cas:cas-server-support-token-core-api,6.1.0
org.apereo.cas:cas-server-support-pac4j-api,6.1.0
org.apereo.cas:cas-server-support-oauth-core-api,6.1.0
uomlibraryapps-card-scanner-events,0.0.2
uomlibraryapps-card-scanner-event-manager,0.0.2
org.apereo.cas:cas-server-core-webflow-mfa,6.0.0
nodecommons-app-angular,0.1.0
uomlibraryapps-card-scanner-hybrid,0.0.10
uomlibraryapps-card-scanner-database,0.0.2
uomlibraryapps-card-scanner-local,1.0.0
uomlibraryapps-card-scanner-remote,1.0.0
uomlibraryapps-card-scanner-hybrid-local,1.0.0
uomlibraryapps-card-scanner-hybrid-remote,1.0.0
